customer_id,first_name,last_name,email,phone_number,registration_date,loyalty_program_status,date_of_birth,gender,membership_level,preferred_contact_method
7fea5de4-04d0-4758-8731-b7bcbbe97995,Isaac,West,joshua23@example.org,(419)812-5683x435,2021-12-07,Silver,1958-09-21,Male,Bronze,Phone
1fd8502f-8423-47e4-afc0-7747e39b54ce,Stacie,Carroll,pattersonsuzanne@example.org,(855)631-6726x78555,2020-04-06,None,1971-01-17,Female,Bronze,SMS
1d050946-4a9c-427c-9cab-57e84ba5f459,Elizabeth,Wong,omcmahon@example.net,9384579677,2020-06-15,None,1989-04-10,Female,Gold,SMS
d7e60534-5b30-4a87-9270-8c2bd0add18a,Jennifer,White,mackenzie15@example.com,+1-315-254-4111,2021-07-02,Silver,1992-07-02,Female,Bronze,Email
ee9d721a-37f9-4f42-bcc7-3e240799f18d,Catherine,Park,robert38@example.com,826.732.3477x302,2022-05-02,Bronze,1991-11-06,Female,Bronze,Email
afaebadf-9778-44ce-af8a-d8a4600a1237,Travis,White,mckenziegina@example.org,(846)464-2551x9581,2021-07-30,Bronze,1952-07-14,Female,Platinum,Phone
3eea529e-4f89-464b-be5a-25cc336ddf59,Megan,Smith,ooneill@example.com,(262)321-1260,2023-02-23,Bronze,1963-01-26,Male,Platinum,Phone
d598035b-4840-4385-abeb-1e5e1ba6b2d9,Erica,Reynolds,simpsonkimberly@example.org,679.351.9283x954,2022-05-12,None,1989-01-06,Female,Platinum,Phone
7b8031b7-aa3d-406d-a35d-3211f97f3098,Bernard,Fleming,michael81@example.org,592-431-0069,2022-06-09,Silver,1996-08-13,Male,Gold,SMS
b74edb37-fb08-4baf-b973-5e3b08b01180,Laura,Warren,robertmorrow@example.com,+1-747-210-8285x45527,2023-11-27,Silver,2004-09-29,Male,Silver,Email
a0a0dee5-270a-4ee1-bffb-2ff81040fc04,Catherine,Bird,ashleyhill@example.org,(376)945-7096,2020-02-20,Silver,1969-06-24,Female,Silver,SMS
39eb81ad-d22f-4b87-ad32-7d8f9c649bf0,Carol,Gibson,lcollins@example.org,001-883-433-7380,2024-03-11,Gold,1964-08-21,Female,Silver,Phone
be3c8366-f605-49f8-b7be-faa5d6e93f7a,Martha,Berry,jwalker@example.org,744-575-5142x849,2020-03-27,Silver,1962-12-15,Male,Platinum,Phone
c0244c18-d953-4954-8a33-2af1cadd8af6,Melissa,Contreras,jamie04@example.net,+1-820-314-2448x32851,2020-10-08,Gold,1976-05-27,Female,Bronze,SMS
0c661f44-d443-4d25-9b6d-4a5489cd2721,Samantha,Bowen,elliottkatherine@example.com,863.265.3738x09157,2020-11-26,Silver,1961-04-25,Male,Silver,Phone
809435fd-f4d4-41e1-99c9-92c708bf5f01,Jason,Smith,laurarobbins@example.org,213-439-6782,2024-01-31,Gold,1983-02-24,Female,Gold,SMS
63baa594-30ee-410f-a8f5-bd6e1461c4d4,Maria,Ramsey,morrisalicia@example.com,871.637.7307,2023-12-31,Silver,2004-02-05,Male,Silver,Phone
c8c7db4b-9392-4d56-9fb7-ae6c82bef2ab,Michael,Rivera,vroach@example.com,001-888-868-4701,2021-01-18,Bronze,1989-10-03,Male,Platinum,Email
843e7fc0-802c-46ce-803f-1b5592565143,Nathan,Petty,martinsarah@example.org,591.692.1985x722,2020-09-05,Bronze,1980-06-10,Male,Silver,SMS
134c23dd-efc1-456f-8d90-503daa5086ae,Tammy,Harding,xpowell@example.com,268.318.7693x38166,2021-10-13,Silver,1944-03-23,Male,Silver,SMS
d254e14e-697b-4b3f-8c10-2a0a42dee5ed,Richard,Gordon,ggutierrez@example.org,391-391-4605,2022-04-13,None,1973-12-19,Male,Silver,Email
