employee_id,first_name,last_name,position,hire_date,salary,store_id,email,phone_number,employment_status
b1d438a0-13ba-4d6f-b585-ac4a607b453d,Sarah,Perez,Stock Clerk,2022-06-24,97308.54,74a67889-a284-4d72-a8a3-8c41c395bf41,msullivan@example.org,001-995-559-5567x439,Active
bee14694-177a-4260-98db-7f9245e74c25,Nathaniel,Buck,Cashier,2023-10-02,87872.23,fa6d5b09-741c-4884-a104-abf551590969,andersonjody@example.net,449.343.6844,Active
2524d749-ba36-4cfd-9c6c-388b93b94c76,Ralph,Cooper,Sales Associate,2022-10-10,66894.55,16e7b764-6b36-4667-86e8-d19962e71b02,patelgary@example.com,9163828570,Terminated
bfdf99af-0031-4de1-9f86-fdb9c87bcb81,Tyler,Martin,Sales Associate,2022-02-15,70407.24,be33298e-d552-4bb5-9e5b-b46ad17b2f03,anacarlson@example.net,268.435.1117,On Leave
ce8800f6-6f68-4ecd-ae83-ab4a7430ee9e,James,Diaz,Sales Associate,2020-04-11,50238.82,fc9c1b27-748e-4bc7-b174-c851660e80a7,ericastewart@example.com,(200)502-7887,Active
0df04b24-d58a-4912-b636-da1bfa609815,Donald,Lewis,Stock Clerk,2021-04-12,97175.21,c4ab9c9f-5b86-4318-a74a-bc0c6f90d743,amy15@example.com,001-275-828-6808x736,On Leave
d89464d0-db12-42ac-9520-6c44970c97f8,Allison,Fisher,Sales Associate,2021-05-14,78601.73,07fbea96-14af-41c4-91e6-ef0bdd00e33e,clarkchristopher@example.org,+1-650-300-9621,Terminated
e17abbb8-b4c8-4cc8-8476-be20d830912a,Cheryl,Aguilar,Stock Clerk,2020-06-09,86267.31,5f942f8c-8f87-45a2-9ed0-cf930a1936de,andrewscarrie@example.net,(314)458-7049x5841,Active
bda95e30-a731-4bb9-9b27-a68b8ec9592a,Ashley,Ruiz,Cashier,2021-08-20,71001.08,fc7b893a-4c37-4647-82ee-00a0d09d3706,jessebailey@example.org,+1-243-489-6324,Active
e9784859-1e2b-4f0c-8e1f-98a4d68357ac,Jimmy,Moore,Manager,2024-02-22,66961.89,762d5c24-e0f9-4d30-a077-651fea947b4c,xcook@example.org,(413)900-3277x18519,On Leave
e4f8f13c-9509-4842-9d0e-3c11192754f6,David,Brown,Stock Clerk,2021-01-22,73049.04,434f8848-c7d3-49f1-ba43-c850e06570a9,bellsarah@example.com,(769)482-1471x317,On Leave
56e973f9-704c-4901-b259-7487eec42d76,Angela,Smith,Stock Clerk,2022-11-11,81298.33,d9e41748-ea0d-4907-a6de-71f7d7364f89,robert64@example.com,001-895-753-7223,Terminated
445482f8-ba6d-4ecc-b2ee-d3b5009274a0,Johnathan,Webb,Stock Clerk,2023-08-11,58320.47,3e93d362-fa71-43f1-95ab-f5d047d11b18,ashley00@example.net,(284)451-9164,Active
d8d632d6-0eda-4f5f-97cc-82db4e1e53a0,Randall,Alvarado,Manager,2020-03-28,61886.36,2b115271-5f13-44a9-97a5-944210ff6136,conwaymarisa@example.com,(221)674-4167,Active
419d954e-3b2c-4913-8c92-9ba59fdd0955,Melanie,Martinez,Manager,2020-02-14,45085.97,0298eff4-dc4b-4163-b664-6a5e4e8d45ee,cheryl06@example.net,001-407-930-9114x03194,Active
bcd1cc7b-5230-44bc-be69-becac77f3e67,Julie,Foster,Sales Associate,2024-06-24,73612.45,00a8e77d-fcbe-4f15-930a-b90887c55637,jnichols@example.com,201.740.0582x9343,On Leave
a3600abd-84ad-45e7-a44c-1cf52cbf8412,William,Tucker,Sales Associate,2022-12-14,28514.5,600b6757-c111-404c-836e-e46dee680958,steven83@example.org,(519)714-8489,Terminated
d78d91d3-5af2-467d-9a1d-afcddf5867d6,Heather,Gonzalez,Sales Associate,2020-06-19,33558.74,5a387bf5-e789-42c1-b0a9-6011e5d9872c,taylormatthew@example.net,553-696-7097x379,Terminated
5d1ed6d9-4081-4d82-8d6e-2413d3a8d1da,Caitlin,Brown,Cashier,2022-05-08,64134.46,beb0412a-16e7-4aa6-9ec4-dbf075b41bb2,tanya15@example.net,+1-513-585-9652x845,Active
ad24018b-3639-4668-aefa-aba3df13bb8a,Brian,Brooks,Manager,2022-05-31,94263.5,20020e70-97e0-43cd-9c78-709900a1e4b9,franklinkimberly@example.org,(651)312-9498,Active
c989ced3-23c3-4eea-9ead-cd531a0e4359,Daniel,Thomas,Sales Associate,2021-10-05,84015.41,fc9c1b27-748e-4bc7-b174-c851660e80a7,zhansen@example.net,996-319-4831,Terminated
86d5fb92-16a9-42c1-be8a-69bece922b9c,Karen,Johnson,Sales Associate,2021-06-23,44530.22,1f98c8a0-be59-4cc4-8199-5a6c3d317d6d,owensrebecca@example.net,286.784.7955x47937,Terminated
7b85657a-f745-438f-808e-c17c9df6c58f,Felicia,Franklin,Stock Clerk,2021-10-30,96380.92,2925e1a8-fe84-4120-becb-514a98a2c7d2,kentgina@example.com,001-727-270-5338x1348,On Leave
18816589-bef8-4efc-9ab5-bf2fc3deb773,Jason,Chapman,Manager,2023-02-17,37333.85,1b0455a4-1bf3-4046-bd55-bd5e47d735b6,martinezcrystal@example.org,(867)468-8142x79649,Active
a0d4da42-a5c5-4729-8649-39034f979dc8,Blake,Church,Manager,2023-04-16,73769.44,275bacdf-9195-4891-b797-fb41372935cd,stevensonlindsay@example.com,525.947.4965,Terminated
f29c1e07-dd9f-4635-abac-b7ebc56482ec,Carmen,Morris,Sales Associate,2021-10-18,36805.34,72bc93cb-559d-4de5-8aba-cbf88d2e5f81,michaelcardenas@example.com,662-486-9400,Terminated
d3278fc4-b307-455e-8825-5297bee87b32,Lori,Riggs,Stock Clerk,2022-11-24,98777.86,23fccf06-c5f4-4d3d-a62b-e7e3f711f32e,fdominguez@example.com,(911)798-5720x4521,Active
c424496e-1e56-4e86-a7b5-be787e37036e,Jerry,Hopkins,Stock Clerk,2023-09-27,54421.48,c6d9d7bf-5d50-4916-8486-0efbece17d66,acharles@example.net,+1-525-531-7930x7833,On Leave
4a9683b0-ae5f-4dde-b691-a5696064a8e6,Michelle,Stevenson,Sales Associate,2023-04-01,46305.41,667e6d83-a5d4-474a-9de1-91318fe541b8,jessica45@example.org,597.325.7669,Terminated
e98e0444-d1b0-43af-9a92-f96ff18e1673,Julie,Becker,Sales Associate,2024-04-22,58956.12,94428005-c827-4374-b5af-c522cdbb1737,kevin08@example.com,864.782.5015,Terminated
b61bbdaf-1a24-4483-a0ec-d4a791494f7e,Brenda,Townsend,Cashier,2024-01-27,52503.93,7b9ce5b8-ad0b-45b8-b87d-89e7020e540c,murphyjanice@example.net,001-727-455-1071x2685,Terminated
e0a37fa5-a273-4268-85f1-f1e60ce2a391,Elizabeth,Guzman,Stock Clerk,2021-02-01,73764.67,f02bc12e-1f35-48e1-a604-9c61e72dbaea,vsuarez@example.com,7202144417,Active
6d67735c-e81f-4095-ac23-52685acb6a94,Matthew,Collins,Sales Associate,2023-06-04,64619.45,30749149-83ee-466d-94c2-b5da36df3841,linda40@example.net,001-390-418-2945x9062,Active
71b79071-b469-4a33-8536-925bb9599186,Pamela,Torres,Sales Associate,2022-05-28,73632.62,3d966d93-39ff-4af6-b2ad-22b44421b3ec,justinreed@example.org,001-809-556-9696x0935,Terminated
d165347e-961f-47ad-8fcb-36bd37c3ac68,Jordan,Brewer,Manager,2020-04-15,51118.63,ab0fb27a-3cc2-4209-acc8-57b8a73a7a5d,rebecca89@example.com,252.512.0767,On Leave
58628cf5-b820-4c65-8b22-bc2eadc0ff54,Angela,George,Sales Associate,2020-02-17,75466.68,12366d62-4305-46d5-872a-d3045f643202,moralesmichelle@example.org,(771)535-2550,Terminated
c1a5f633-118f-4e83-a3a9-6bf206573ea4,John,Watkins,Sales Associate,2021-12-01,32898.71,dafb6458-4c04-4272-bfc8-d6755460f7d7,bmccann@example.com,001-776-877-5759x39498,Active
