supplier_id,supplier_name,contact_name,contact_email,contact_phone,address,city,state,postal_code,country
e331b8cd-b25c-46e2-9cd0-d32de9da34f4,"Harvey, Nelson and Beard",Julie Reid,townsendvicki@example.org,574.287.4359x129,"39146 Russell Overpass
North Carol, MT 07183",Lloydside,Alaska,21266,Guatemala
475db79b-98a5-4d0e-a76c-df0de9be2cd9,Steele-Jimenez,Eric Johnson,jared87@example.net,704-652-2915,"087 Erika Place Apt. 840
East Davidstad, RI 75707",Madisonside,Virginia,57310,Anguilla
a214032e-8ecb-44e8-9780-4e75f26186d9,Thomas-Jones,Laurie Trujillo,ninacase@example.org,8259956168,"62574 White Flats Apt. 511
Port Josephland, RI 12182",Kennethbury,Arkansas,79639,Cape Verde
95e71c86-7ec0-4642-971c-c14191d6811b,Green-Park,Timothy Rodriguez,brittanypowell@example.org,485.842.2317x8843,"6819 Anthony Mills Apt. 978
Estesbury, TN 06242",Brownborough,Wisconsin,95367,Holy See (Vatican City State)
f1443752-d003-4ad1-8820-932723f6a02f,Hood LLC,Megan Fitzpatrick,marshallannette@example.org,768-214-3726x85419,"837 Schmidt Way
Rodriguezland, IN 08797",West Nicholas,Louisiana,26890,France
e6c4b481-c526-4abe-a3f8-e5e386f40067,Cobb-Tucker,Carolyn Gonzalez DDS,bcastro@example.org,606-876-5894,"PSC 0214, Box 9705
APO AA 59376",East David,Louisiana,01115,Svalbard & Jan Mayen Islands
f3af24ca-80d9-42ea-be0a-1f923ca03c96,Clark-Smith,Adam Moreno,lshaw@example.org,+1-870-311-1909x9326,"95781 Stout Tunnel
Carterburgh, FL 03444",Silvaton,New Hampshire,78125,Cameroon
ecec56f8-c74f-4551-af06-84046bae98e3,Wiggins-Walsh,Gordon Ortiz,mbolton@example.net,+1-340-311-0653x602,"940 Owens Place
West Curtis, CT 70308",Morganmouth,North Dakota,84072,Bangladesh
3fd8ec4c-bb92-41e3-884b-c15b8e1179b6,"Palmer, Reyes and Howell",Nicole Juarez,davidsmith@example.com,001-434-907-9411x5258,"730 Cooper Shoal
Lake Jesse, OH 36509",Anthonymouth,Louisiana,49435,Vanuatu
9b89d515-11d1-4e28-9827-7df2a630cae5,"Bell, Jennings and Edwards",Cory Elliott,xcuevas@example.net,(674)797-0485x5372,"3950 Bishop Divide
Lisaland, NM 74817",Lake Barrychester,Illinois,41916,Somalia
546bcf22-4289-453b-a17e-e90fa300a21c,"Harris, Kerr and Taylor",Chad Martinez,rodriguezshannon@example.com,001-956-930-7475x700,"684 Melissa Mission
Brownshire, KS 43545",Lake Devon,New Hampshire,90317,South Georgia and the South Sandwich Islands
4f894aec-ce01-494e-97c9-864c85c8ab02,"Murillo, Yang and Hall",Lauren Hendrix DDS,brittanypeterson@example.net,229-378-5283,"4118 Lopez Valley
Lake Alyssaside, LA 23313",South Ginaberg,South Dakota,99794,Austria
6706fd41-6390-42fc-9533-9137f41cac9d,Erickson-Lopez,Catherine Young,villanuevatonya@example.net,7175780494,"5904 Andrew Lodge Apt. 647
West Brandonborough, IA 10614",Patrickhaven,Colorado,75653,Chile
60526c81-9406-495f-b293-8c811aa7dcbe,Wilson PLC,John Miller,snicholson@example.org,703.285.2511x39560,"PSC 2344, Box 1100
APO AE 10108",North Gabriel,Washington,32542,United States of America
41fd881e-cfef-49a6-ae0a-bf8b3c642605,Smith-Salinas,Joshua Martinez,monica53@example.net,7002481990,"344 Brandy Walk Suite 674
Johnsonstad, TN 76994",Port Cynthia,Maine,82125,Timor-Leste
4262b67d-e14b-4466-86b4-28f9e75c9cd1,"Taylor, Flores and Wilson",Teresa Harper,xdavis@example.net,(934)923-5539x500,"10047 Mark Creek Suite 985
Whiteberg, AR 58471",Lake Timothy,Indiana,92376,Turkmenistan
e2311f9f-cff4-4724-8b29-d94a0048faa7,Ford-Lindsey,Ann Rivera,jared32@example.com,841.718.3576x0859,"8610 Elizabeth Stravenue
Thomasside, NC 36331",West Andrew,Nevada,98437,Antigua and Barbuda
24fb74b4-9b84-4e36-af61-e7215f168110,"Kaufman, Martinez and Manning",Kevin Robbins,edward91@example.org,4582801784,"053 Jefferson Place Apt. 681
West Jasonbury, MD 70552",Terryton,Oregon,61708,Kuwait
399896cb-b445-4d96-904c-075a413ad232,"Higgins, Booth and Johnson",Brittany Johnson,randy00@example.com,888-795-9967,"9192 Andrew Haven Suite 031
Wilkinsberg, SD 25104",Kellyfort,Missouri,07400,United States Minor Outlying Islands
a4a56ab2-1570-4a48-b818-dba1632d5e35,"Wilson, Madden and White",Bryan Pace,patricia60@example.org,+1-347-251-7562,"251 Shelly Forest Apt. 200
Katrinaburgh, GU 91715",Paulfurt,Massachusetts,72765,Bahrain
a220545f-7a05-493c-a233-9c08b8140f7a,"Lynch, Brown and Andrade",Jennifer Hensley,gomezmicheal@example.net,+1-459-615-0877x8961,"22192 Dennis Mount
Serranoside, CO 54561",Larsonmouth,New Hampshire,71953,Bangladesh
34d6320d-084b-421f-82c4-a87af354eef0,Rogers Group,Tina Miller,lindseypatrick@example.net,397.259.7383x9376,"48090 Kristina Isle
West Courtneyport, OR 76979",North Mariaburgh,Minnesota,45892,Greenland
8cbeb246-04a3-47fc-bb44-114581c8e7ff,"Beasley, Gibbs and Mcmillan",Angela Stewart,joanna52@example.net,3425275513,"Unit 2581 Box 9394
DPO AE 87199",Port Jasonborough,New Jersey,18402,Anguilla
b26ac42c-2e6f-45b1-bfbf-28fe3035828d,Murray LLC,Laura Rodriguez,jordan67@example.net,001-388-999-4932x26880,"Unit 2451 Box 6525
DPO AE 73969",East Paula,Connecticut,77498,Mali
e2b6304e-b69e-4a26-9cac-80980c731560,Lamb-Lopez,Rebecca Smith,lambronald@example.net,967-450-9716x7813,"234 Jessica Dale Suite 010
Campbellfort, NM 82271",North Frank,Minnesota,32393,Niger
3f09a8f4-9dd7-4f5f-a159-791576298478,Elliott PLC,Donna Weiss,montessamantha@example.net,202.580.8668x111,"46271 Richard Common Suite 598
Brownview, MT 63205",Dennishaven,West Virginia,58323,Greenland
135ec12c-789d-44d2-9808-fda72837fba2,Sanders and Sons,Lonnie Cannon,lindsey15@example.com,6783407118,"4976 Huffman Terrace
Barbaraburgh, VT 87723",Powellfort,Connecticut,75621,Saudi Arabia
416e14d1-663b-4c96-a98c-a570251b714a,"Anderson, Barrera and Perry",Charles Garcia,tarabaxter@example.org,265.420.1734,"449 Garcia Square
New Gregoryfurt, LA 43044",East Paulberg,Utah,60521,Moldova
cc3849db-2e98-4435-a324-8b45ab57b0a0,Buck-Olson,Patricia Edwards,inelson@example.com,662-668-3397,"023 Mitchell Avenue Suite 216
South Edward, UT 60707",Jesuston,Nevada,57500,Qatar
0ceb4817-a8a8-49ca-9345-bad8d576cab8,Welch-Johnson,Nicole Chambers,brandonmcclure@example.net,5523912762,"USCGC Riggs
FPO AP 98645",Port Juliantown,South Carolina,11194,Belgium
7c9e4eef-0b76-4bd9-96b3-9b6aa1c3227a,Mcclure Group,Matthew Woods,tuckerkimberly@example.net,+1-363-252-8672x1012,"731 Ellison Causeway
Yorkside, AL 24721",North Dylanbury,Arkansas,05110,Thailand
9ce444ba-8850-4ac2-a8a3-fb0b86876b6f,"George, Garcia and Flowers",Rachel Knapp,nicole62@example.org,(732)636-7860,"55340 Barry Freeway
Villarrealshire, MN 70481",Sandramouth,Georgia,70860,Barbados
ea2e0862-acc2-409a-9735-50db779e2516,Ramirez-Braun,Leslie Taylor,austinmichelle@example.net,(405)439-1870,"87357 Summers Route
Stevenville, OH 55927",Ramostown,Massachusetts,70059,Syrian Arab Republic
352d2a25-2bae-42bb-9021-b260df26219f,Freeman-Bates,Janet Zamora,drakethomas@example.net,+1-507-438-9860x01888,"314 Angela Junction
Priceland, VA 25357",Port Cynthia,Texas,75740,Bouvet Island (Bouvetoya)
ff0398c5-75e5-4115-bfd0-d27c9b76eb28,"Fox, Murphy and Byrd",Amanda Khan,mike67@example.net,957.943.3935x5841,"PSC 1105, Box 0366
APO AE 81558",South Michelle,Maryland,73568,Myanmar
3cef1b08-c685-4839-ad57-ec6774b4cc70,Bryant LLC,Danielle Moore,garrett76@example.net,3056954805,"771 Tate Valley Suite 910
West Josephport, TN 20014",Karenstad,Kentucky,48637,Isle of Man
59557bbd-a064-47a3-8fcd-02d2438e4594,"Richardson, Hernandez and Mitchell",Randy Woods,nwalls@example.org,608-480-8343,"641 Tonya Meadows Apt. 721
Madisonshire, DE 03941",Perrymouth,Pennsylvania,13311,Bahrain
db7b029f-1b21-46f7-a141-c93537337725,"Rivera, Watson and Reynolds",Teresa Bryant,amoss@example.com,(219)445-4405,"02479 Wilson Center
Reedland, DE 05391",Craigport,Arizona,22536,Uzbekistan
a7681001-3c73-4598-86d5-be43a0378fdf,"Larson, Kelly and Clayton",Jonathan Bell,bradfordmichelle@example.org,977-391-6880x0330,"Unit 6944 Box 6301
DPO AP 54258",East Pamelatown,New York,97993,Andorra
33a81485-a7c0-4006-87a3-78d064280fa4,Gutierrez-Cantu,Sandra Kelley,jesse87@example.net,507.569.0565x37747,"19526 Johnny Inlet
Keithside, MT 84149",Russellland,Kansas,40881,Bhutan
aaa8f64f-d981-4104-b94a-9900587a2669,Howard-Dunlap,Jeffrey Reed,michaelberg@example.net,826-204-7628x2323,"1492 Christina Trail Apt. 232
New Mariachester, NJ 95320",South Janet,Utah,66074,Benin
42ae9f0f-b293-4051-a47d-21c0fb9c5b19,Crawford Group,David Murray,wali@example.com,+1-928-395-8770x57183,"47122 Tonya Turnpike
East Kevinfort, AS 26140",East Alexander,Nevada,62413,Oman
439d8893-06b5-4ff8-8402-f6288fa87dd1,Collins-Morse,James Sanchez,haroldabbott@example.net,(873)316-0328,"925 Pitts Islands
East Aaron, SC 92733",Terrellton,New York,81696,Belgium
c86010f7-473e-4e4a-a207-94741c666ad8,"Richards, Martinez and Ruiz",Sonia May,courtneyjohnson@example.net,575-767-4269,"Unit 2015 Box 1221
DPO AE 20670",New Richardchester,Florida,12480,Cayman Islands
444556aa-b5fe-4f92-8ce4-0cac2afc2065,Alvarez-Barajas,Kyle Johnson,ellensnyder@example.com,+1-677-496-6618x2857,"USNS Harris
FPO AE 76752",Christinamouth,Texas,20330,Saint Kitts and Nevis
d10c7119-f66c-4816-a229-67c1c3154da2,Sanchez-Sherman,Jeffery Horne,marymckay@example.com,+1-574-836-3240,"45531 Krista Estates
East Walter, MN 03430",Kurtshire,New Mexico,42816,Tajikistan
b2c9e5d0-abae-459f-9b63-3b78859ee093,"Wagner, Austin and Olson",David Kim MD,douglas75@example.com,706-780-8017x383,"75962 Ashley Pass
West Nicholasfort, WV 81676",North Karen,California,07755,Western Sahara
157c4c75-bdc7-4263-9c85-21870bea8935,"Moore, Coleman and Mitchell",Larry Armstrong,kmontgomery@example.org,308.648.3515,"1906 Reyes Tunnel Apt. 461
Sarahfort, VT 23104",West Heather,Wyoming,34526,Liberia
d9253600-35d0-4eed-a86f-b8361aa09cfc,Jacobs Inc,Tyler Wilson,marie17@example.com,3982125643,"9813 Taylor Harbor Apt. 275
Ryanbury, OR 62677",Danielchester,Mississippi,82136,Maldives
9270ad28-32d1-4faf-8e3d-239fbb962928,Russell PLC,Courtney Villanueva,jefferyduran@example.net,504-960-5158x725,"434 Blankenship Forest Apt. 240
South Ryan, GA 62534",Brianburgh,South Carolina,61769,Angola
b757e91d-dd4c-4fc2-9296-0623f0e61fab,"Herrera, Mcdonald and Hoffman",Daniel Mckinney,mezajames@example.com,001-911-390-9159x7338,"403 Susan Ranch Suite 636
Kellyshire, CT 51080",West Sherri,Alabama,04268,Saint Martin
638c5f9a-9359-44bf-add8-3bb6b956fd3f,Alvarado-Aguirre,Joshua Vaughan,jessicalopez@example.org,001-512-881-1702x886,"52156 Perez Path Apt. 322
West Kellyport, DE 76211",Irwinport,Oklahoma,87955,Singapore
cc0de3c7-b853-4523-ba17-64da1f446ff7,"Blevins, Hernandez and Jackson",Andrea Park,wwright@example.net,(363)976-5582,"75083 Dana Radial Apt. 580
Nicolemouth, FL 28371",Toddview,Kansas,06532,Bahrain
15a2fe7b-e2b4-414f-ba9d-d7628916e574,Gilmore-Smith,Maria Dorsey,ruizross@example.com,538-735-5824x014,"99277 Leon Harbors
South Cynthia, NV 60152",Jeffreyfurt,South Dakota,49519,Sri Lanka
ea83fea1-fee3-4742-8fca-004dce61f2fe,"Griffin, Turner and Hayes",Susan Brennan,tschmidt@example.org,286.459.3732,"4837 Mathew Extension Apt. 929
Ianborough, MI 26486",Collinstown,Nebraska,60563,United States of America
44141978-49b3-4668-917d-41d2ee6332bc,"Acosta, Gonzales and Wright",Amanda Hunter,smiller@example.net,2964068572,"761 Carlos Mountains Apt. 141
Murphybury, DC 72739",Tammyfurt,South Dakota,68713,Lebanon
9c7109c3-9b1d-49b5-ace0-a317ba9c23e1,"Scott, Bush and Yoder",Alexander Williams,shawn85@example.net,367.836.8378,"USNV Hood
FPO AP 30511",East Marissafort,Colorado,50248,Mexico
e63171c2-a504-418d-bb6a-5c06a968ae6b,Barton-Valdez,Rebekah Hamilton,jennifer70@example.net,787-676-1052x961,"79718 Christine Village Apt. 080
Powellland, AS 75129",Lake Derek,California,70585,Cocos (Keeling) Islands
a2e566c8-4abf-4bfb-931f-b78ea0c8774e,"Reid, Walker and Mcbride",Gabrielle Bray DDS,mmartin@example.org,001-295-459-5916x0962,"379 Jeffrey Radial
Ryanshire, KY 70293",West Rachel,Wisconsin,39273,Cameroon
2be6e3c2-e495-4cb1-ad15-fd58c1d73053,Lloyd and Sons,Deborah Leach,brookscheryl@example.com,487.273.8514x0762,"88666 Robert Mews Suite 713
North Robyntown, NM 61931",West Jaime,Alabama,60267,Northern Mariana Islands
2a0e9a56-23eb-4336-966c-38406814b2b7,Noble-Newman,Alicia Morris,kylemartinez@example.com,672-262-5353x309,"43162 Perkins Corner
North Jonathan, NV 20472",Garciaville,Iowa,24705,Palestinian Territory
5ea4ede1-9b28-45f2-8ecf-d199bc3bed18,Henderson PLC,Taylor Bennett,charlesralph@example.net,001-560-458-2635,"0684 Mercer Roads
Lake Sarahburgh, AL 96301",Thorntonfurt,South Carolina,68353,Bolivia
724172ab-f762-4280-99a3-7b04dc02bc69,Miller-Watson,Donald Miller,alexanderfritz@example.com,3593200160,"9660 Thompson Expressway Suite 473
New Brianton, NC 64743",Clarkstad,New Mexico,06574,Nicaragua
8426071c-3e38-4ad3-99d1-68876bb0268f,Johnson-Ayers,Scott Lynch,paulpowell@example.net,001-385-438-3695x959,"USS Johnson
FPO AE 37171",South Dale,Washington,87561,Israel
4804cf76-1a62-4ec4-95c6-9bc54dba9b79,"Richardson, English and Maxwell",Arthur Sanders,rromero@example.org,(200)427-0627x840,"5547 Glover Parks Suite 092
South Brenda, MN 87231",West Tyler,New Jersey,21288,Guatemala
bb864c50-82b7-49ea-b830-5fa588e0af48,Richards Ltd,Denise Jenkins,ellenwoodard@example.net,(596)492-3469x56873,"USNV Gonzalez
FPO AP 65483",South Victor,Nevada,01033,Namibia
5f64f980-9ac7-4df0-b152-52164408012a,Murphy-Pham,Kathryn Dennis,ubranch@example.org,241.364.2834x98851,"80074 Hoffman Lights
Port Andrewborough, WY 68314",West Troy,Kansas,85496,Bulgaria
bef9634e-289a-4126-8c52-ae4af2939b01,Smith Inc,Kimberly Dawson,garciastacey@example.net,873-386-3376,"03978 Shaffer Circles Apt. 926
Sextonburgh, MH 21855",East Henry,North Carolina,74254,Anguilla
641580bc-08ef-4b50-8e28-6a4bc0c8a1bf,Sutton LLC,Ana Washington,mayokelly@example.org,(929)734-9107x793,"658 Olivia Garden Apt. 174
Johntown, OK 32587",East Teresa,Indiana,39469,Cook Islands
fb0db6f6-141a-4caf-89be-743de886bfe2,Lee-Rodriguez,Wanda Campbell,christopherbennett@example.net,(288)558-4027,"470 Alvarado River Suite 448
Snyderchester, MH 77498",Scottchester,Pennsylvania,14830,Trinidad and Tobago
daa68751-3d2f-4fcf-babc-df1f0e94a5a5,"Mills, Gibson and Martin",Stephanie Olson,hannahmurphy@example.org,770-574-4178,"100 Peter Lights Apt. 771
South Aimee, DE 95238",East Chelsey,Texas,12617,Oman
1b11f4ec-7d57-4d59-b7eb-2c73122c9be4,Anderson-Baker,Christopher Baker,marilyn59@example.org,422.610.5265x183,"94515 Mark Wall Apt. 540
Port Lisachester, VA 85384",Donnastad,Kansas,22036,Ireland
